"Source";"Station";"Nom";"Densp1";"Eff1";"Eff2";"DensCS";"EPA";"Efficacite";"surf_reel";"surf_theo";"largeur..m.";"longueur..m.";"profondeur..cm.";"vitesse.m.s.ou.0......";"substrat.dom";"substrat.accessoire";"facies.plat";"facies.profond";"facies.radier";"végétation.aquatique..abs.pres.";"abris.poissons.1..abs.pres.";"abris.poissons.2..abs.pres.";"abris.poissons.3..abs.pres.";"abris.poissons.4..abs.pres.";"abris.poissons.5..abs.pres.";"DensCSold";"NCS";"LCI";"UCI";"p";"zip";"pzip";"LCIzip";"UCIzip";"Nzip";"DensZip"
"SD22";"Osée 2";"Osée 2";NA;7;3;NA;0.23;0.7;NA;219.1260876;NA;NA;NA;"";"";"";NA;NA;NA;"";"";"";"";"";"";10;10;10;10;0.769230769230769;11;0.666666666666667;6.4034770191135;15.5965229808865;11;NA
"SD22";"Osée 3";"Osée 3";NA;12;14;NA;0.63;0.22;NA;134.3030859;NA;NA;NA;"";"";"";NA;NA;NA;"";"";"";"";"";"";54;54;6.73525571157917;101.264744288421;0.270833333333333;16;0.241379310344828;-50.5072194612511;82.507219461251;5;NA
"SD22";"Osée 4";"Osée 4";NA;4;1;NA;0.19;0.8;NA;148.4402529;NA;NA;NA;"";"";"";NA;NA;NA;"";"";"";"";"";"";5;5;5;5;0.833333333333333;5;0.833333333333333;3.96288454365276;6.03711545634724;5;NA
"SD22";"Osée 5";"Osée 5";NA;15;9;NA;0.83;0.5;NA;127.2345025;NA;NA;NA;"";"";"";NA;NA;NA;"";"";"";"";"";"";30;30;18.9997294191522;41.0002705808478;0.533333333333333;32;0.489795918367347;11.7202738498574;52.2797261501426;32;NA
"LOGRAMI";"Négron 1";"Négron 1";0.0230263157894737;7;1;0.0263157894736842;0.28;0.875;304;176.7145868;3.8;80;39;"";"";"";NA;NA;NA;"";"";"";"";"";"";8;8;8;8;0.888888888888889;8;0.888888888888889;7.2252562096193;8.7747437903807;8;0.0263157894736842
"LOGRAMI";"Négron 2";"Négron 2";0.00167574361122748;1;0;0.00167574361122748;0.04;1;596.75;176.7145868;7.7;77.5;40;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00167574361122748
"LOGRAMI";"Veude 1";"Veude 1";0.0163398692810458;6;0;0.0163398692810458;0.24;1;367.2;176.7145868;10.2;36;25;"";"";"";NA;NA;NA;"";"";"";"";"";"";6;6;NA;NA;1;6;1;6;6;6;0.0163398692810458
"LOGRAMI";"Veude 2";"Veude 2";0.0211356911371002;6;0;0.0211356911371002;0.24;1;283.88;176.7145868;9.4;30.2;39;"";"";"";NA;NA;NA;"";"";"";"";"";"";6;6;NA;NA;1;6;1;6;6;6;0.0211356911371002
"LOGRAMI";"Veude 3";"Veude 3";0.00906070673512534;3;0;0.00906070673512534;0.12;1;331.1;176.7145868;4.3;77;40;"";"";"";NA;NA;NA;"";"";"";"";"";"";3;3;NA;NA;1;3;1;3;3;3;0.00906070673512534
"LOGRAMI";"Mâble 1";"Mâble 1";0.00840336134453781;3;1;0.0112044817927171;0.12;0.75;357;176.7145868;4.2;85;29;"";"";"";NA;NA;NA;"";"";"";"";"";"";4;4;4;4;0.8;4;0.8;2.79977208091117;5.20022791908883;4;0.0112044817927171
"LOGRAMI";"Ruau 1";"Ruau 1";0.0180414231074547;5;1;0.0216497077289457;0.2;0.833333333;277.14;176.7145868;3.1;89.4;21;"";"";"";NA;NA;NA;"";"";"";"";"";"";6;6;6;6;0.857142857142857;6;0.857142857142857;5.07606411710021;6.92393588289979;6;0.0216497077289457
"LOGRAMI";"Manse 1";"Manse 1";0.0377042312526184;9;2;0.0460829493087558;0.36;0.818181818;238.7;176.7145868;5.5;53.4;41;"";"";"";NA;NA;NA;"";"";"";"";"";"";11;11;11;11;0.846153846153846;11;0.846153846153846;9.61983493249273;12.3801650675073;11;0.0460829493087558
"LOGRAMI";"Nouâtre 1";"Nouâtre 1";0.0108932461873638;2;1;0.0163398692810458;0.08;0.666666667;183.6;176.7145868;2.7;68;17;"";"";"";NA;NA;NA;"";"";"";"";"";"";3;3;3;3;0.75;3;0.75;1.53912909903903;4.46087090096097;3;0.0163398692810458
"LOGRAMI";"Esves 1";"Esves 1";0.00908980729608532;3;0;0.00908980729608532;0.12;1;330.04;176.7145868;7.4;44.6;21;"";"";"";NA;NA;NA;"";"";"";"";"";"";3;3;NA;NA;1;3;1;3;3;3;0.00908980729608532
"LOGRAMI";"Veude Porcay 1";"Veude Porcay 1";0.00311915159076731;1;0;0.00311915159076731;0.04;1;320.6;176.7145868;3.5;91.6;22;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00311915159076731
"LOGRAMI";"Trois Moulins 1";"Trois Moulins 1";0.00573921028466483;1;0;0.00573921028466483;0.04;1;174.24;176.7145868;1.5;96.8;33;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00573921028466483
"LOGRAMI";"Batreau 1";"Batreau 1";0.00339489407930473;1;0;0.00339489407930473;0.04;1;294.56;176.7145868;2.8;105.2;14;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00339489407930473
"LOGRAMI";"Ozon 2";"Ozon 2";0.00181422351233672;1;0;0.00181422351233672;0.04;1;551.2;176.7145868;5.2;106;20;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00181422351233672
"LOGRAMI";"Ris 1";"Ris 1";0.00342935528120713;1;0;0.00342935528120713;0.04;1;291.6;176.7145868;2.7;108;22;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.00342935528120713
"LOGRAMI";"Arceau 1";"Arceau 1";0.0046189376443418;1;0;0.0046189376443418;0.04;1;216.5;176.7145868;2.5;86.6;34;"";"";"";NA;NA;NA;"";"";"";"";"";"";1;1;NA;NA;1;1;1;1;1;1;0.0046189376443418
