"stcod";"Opcod";"cgenelin";"opdtd";"opeau";"ophdb";"oplim";"oplng";"oplam";"optmm";"ophab";"OpPrf";"age0";"age1";"age2";"age3";"age4";"<80";"80-90";"90-100";"100-110";"110-120";"120-130";"130-140";"140-150";"150-160";"160-170";"170-180";"180-190";"190-200";"200-210";"210-220";"220-230";"230-240";"240-250";"250-260";"260-270";"270-280";"280-290";"290-300";"300-310";"310-320";"320-330";"330-340";"340-350";"350-360";"360-370";"370-380";"380-390";"390-400";"400-500";"500-600";"600-700";"700-800";">800";"50-100";"100-150";"150-200";"200-250";"250-300";"300-350";"350-400";"400-450";"450-500";"500-550";"550-600";"600-650";"650-700";"700-750";"750-800";"800-850";"850-900";"900-950";"950-1000";"Eff1";"Eff2";"Eff3";"poidstotal";"annee";"mois";"NCS";"LCI";"UCI";"p";"Nzip";"pzip";"LCIzip";"UCIzip";"densCS";"densZip";"eff";"Eff3calcul";"biomCS";"code_vieux";"code_iav";"riviere";"distance_mer";"classdist"
"1";"04350109";"20020000154";"J79-030-";2003-08-19;18.9;1420;-9;24;3.67;NA;113132;-9;0.0142875724867918;0.221491697920461;0.18629749841517;0.139887506561753;0.119234634696658;0;0;0;0;2;1;1;2;3;5;3;3;3;4;2;2;1;2;4;0;0;2;1;0;0;3;1;0;0;1;1;1;0;1;0;0;0;0;0;6;17;11;7;4;3;0;1;0;0;0;0;0;0;0;0;0;0;33;16;NA;1316.23;"2003";"08";60;41.1952224949441;78.8047775050559;0.563218390804598;61;0.550561797752809;40.7243990592959;81.2756009407041;0.681198910081744;0.692552225249773;0.55;0;18.2982539064672;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"2";"04350109";"20020000107";"J79-030-";2001-08-20;17.5;1530;-9;26;3.14;NA;33213133;-9;0.147430706372896;1.11159326854282;0.375986615388726;0.257386697681588;0.189915304360443;0;0;0;5;10;19;16;10;14;13;8;13;4;2;5;4;4;1;2;3;4;3;3;0;0;1;2;0;0;1;0;0;0;2;0;0;0;0;0;60;52;16;15;3;1;0;2;0;0;0;0;0;0;0;0;0;0;109;40;NA;1933.94;"2001";"08";170;149.616480637018;190.383519362982;0.645021645021645;170;0.645021645021645;149.616480637018;190.383519362982;2.08231259186673;2.08231259186673;0.641176470588235;0;27.0272994222466;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"3";"04350109";"20020000230";"J79-030-";2009-09-15;14.2;950;-9;28;3.11;-9;0;0.0741999968886375;0.000232889923648279;0.23353436710242;0.127478690308205;0.0675974587629412;0.0419880132040387;0;0;0;0;0;0;2;1;2;3;5;4;3;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;17;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;NA;238;"2009";"09";41;-0.698999067467597;82.6989990674676;0.382352941176471;56;0.26530612244898;-47.8577810858871;159.857781085887;0.470831419384474;0.643086816720257;0.341463414634146;0;4.30991837744249;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"4";"04350109";"20020000126";"J79-030-";2002-09-03;15.1;1510;-9;28;3.66;NA;0;-9;0.0319845961988017;0.460255171961715;0.357359791318033;0.222416296829508;0.157492340547541;0;0;0;2;2;7;9;8;8;7;5;13;4;7;7;5;8;7;4;2;4;2;6;3;2;0;0;0;1;2;0;0;0;0;0;0;0;0;0;28;37;34;18;5;3;0;0;0;0;0;0;0;0;0;0;0;0;113;12;NA;1961.86;"2002";"09";126;123.273898039155;128.726101960845;0.899280575539568;126;0.899280575539568;123.273898039155;128.726101960845;1.22950819672131;1.22950819672131;0.896825396825397;0;19.2969836065574;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"5";"04350109";"20020000192";"J79-030-";2005-09-13;17.3;1345;-9;25;2.89;-9;23113122;0.175500005483627;0.00141058798950407;0.0809435042768242;0.0703900827998023;0.0397659229421651;0.0289431892120613;0;0;0;0;0;1;0;1;0;3;0;1;1;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;5;4;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;5;NA;206;"2005";"09";16;8.38037623908147;23.6196237609185;0.608695652173913;17;0.56;6.81820300678962;27.1817969932104;0.221453287197232;0.235294117647059;0.5625;0;3.25852694018784;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"6";"04350109";"20020000210";"J79-030-";2007-09-13;13.1;1040;-9;27;3.75;-9;32113122;0.11599999666214;0.000176821085455074;0.203350528245797;0.183383171344996;0.125018332414605;0.100416825921093;0;0;0;0;0;0;2;4;1;4;5;3;4;2;2;1;2;5;1;1;1;2;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;6;17;12;6;4;1;1;0;0;0;0;0;0;0;0;0;0;0;30;17;NA;1026.83235946523;"2007";"09";62;35.2696550592944;88.7303449407056;0.5;64;0.479591836734694;33.7061408805288;94.2938591194712;0.612345679012346;0.632098765432099;0.483870967741935;0;13.3782203912465;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"7";"04350109";"20020000261";"J79-030-";2013-09-12;14.5;0;-9;29;4.4;-9;0;0.0729999989271164;0.0183351291146997;0.299354252427028;0.146131898144731;0.0786933398105877;0.06093365635017;0;0;0;0;4;3;4;5;7;6;10;5;6;8;5;2;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;16;34;15;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;54;17;NA;1145;"2013";"09";77;67.5311162751049;86.4688837248951;0.71;78;0.696078431372549;67.6558363281975;88.3441636718025;0.603448275862069;0.61128526645768;0.701298701298701;0;9.73166585721224;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"8";"04350109";"20020000006";"J79-030-";1998-09-02;0;1000;6;25;3.32;NA;22114043;-9;0.0622127515800297;0.974081195924626;0.253837410184739;0.155576526329317;0.0964607910522088;0;0;0;0;6;11;15;16;8;8;7;5;2;4;3;0;3;2;1;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;30;12;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;50;33;13;802;"1998";"09";128;62.5757130996479;193.424286900352;0.402912621359223;112;0.472906403940887;94.1803727496411;129.819627250359;1.5421686746988;1.34939759036145;0.390625;13;12.8835341365462;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"9";"04350109";"20020000091";"J79-030-";2000-09-13;16;1155;-9;26;3.23;NA;32113142;-9;0.102844778630641;1.20790952380883;0.475278164549263;0.260436953530392;0.168343630389448;0;0;0;5;6;10;17;21;19;17;15;9;8;8;6;2;7;12;2;1;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;59;68;35;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;130;40;NA;1642.6;"2000";"09";186;170.613901743866;201.386098256134;0.702479338842975;187;0.69672131147541;171.043384066696;202.956615933304;2.21481305072636;2.22672064777328;0.698924731182796;0;21.4003053948419;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
"10";"04350109";"20020000250";"J79-030-";2011-09-21;15.5;1430;-9;28;3.29;-9;22124122;-9;6.80130492144992e-08;0.135231625176899;0.154384207918864;0.0901086467939334;0.0653470977271881;0;0;0;0;0;0;0;0;1;3;5;5;2;7;1;0;3;2;2;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;16;13;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;24;11;NA;601;"2011";"09";41;28.4539128984932;53.5460871015068;0.603448275862069;42;0.583333333333333;27.8609528993757;56.1390471006243;0.445071645679548;0.455927051671732;0.585365853658537;0;7.64251597295453;"0435XXX6";"CANSb-65";"CANUTSUD";65;"50-100rkm"
