Source;Station;Densp1;DensCS;EPA;Efficacite;Nom;Source;surf_reel;surf_theo
SD22;Gue Parfond 2;5;5;0.2;1;Gue Parfond 2;SD22;105;176.7145868
SD22;Osée 1;62;118;2.07;0.53;Osée 1;SD22;;212.0575041
SD22;Osée 2;7;10;0.23;0.7;Osée 2;SD22;;219.1260876
SD22;Osée 3;12;54;0.63;0.22;Osée 3;SD22;;134.3030859
SD22;Osée 4;4;5;0.19;0.8;Osée 4;SD22;;148.4402529
SD22;Osée 5;15;30;0.83;0.5;Osée 5;SD22;;127.2345025
LOGRAMI;Négron 1;9,8;8;0.28;0.875;Négron 1;LOGRAMI;304;176.7145868
LOGRAMI;Négron 2;1,4;1;0.04;1;Négron 2;LOGRAMI;596.75;176.7145868
LOGRAMI;Veude 1;8,4;6;0.24;1;Veude 1;LOGRAMI;367.2;176.7145868
LOGRAMI;Veude 2;8,4;6;0.24;1;Veude 2;LOGRAMI;283.88;176.7145868
LOGRAMI;Veude 3;4,2;3;0.12;1;Veude 3;LOGRAMI;331.1;176.7145868
LOGRAMI;Mâble 1;4,2;4;0.12;0.75;Mâble 1;LOGRAMI;357;176.7145868
LOGRAMI;Ruau 1;7;6;0.2;0.833333333;Ruau 1;LOGRAMI;277.14;176.7145868
LOGRAMI;Manse 1;12,6;11;0.36;0.818181818;Manse 1;LOGRAMI;238.7;176.7145868
LOGRAMI;Nouâtre 1;2,8;3;0.08;0.666666667;Nouâtre 1;LOGRAMI;183.6;176.7145868
LOGRAMI;Esves 1;4,2;3;0.12;1;Esves 1;LOGRAMI;330.04;176.7145868
LOGRAMI;Veude Porcay 1;1,4;1;0.04;1;Veude Porcay 1;LOGRAMI;320.6;176.7145868
LOGRAMI;Trois Moulins 1;1,4;1;0.04;1;Trois Moulins 1;LOGRAMI;174.24;176.7145868
LOGRAMI;Batreau 1;1,4;1;0.04;1;Batreau 1;LOGRAMI;294.56;176.7145868
LOGRAMI;Ozon 2;1,4;1;0.04;1;Ozon 2;LOGRAMI;551.2;176.7145868
LOGRAMI;Ris 1;1,4;1;0.04;1;Ris 1;LOGRAMI;291.6;176.7145868
LOGRAMI;Arceau 1;1,4;1;0.04;1;Arceau 1;LOGRAMI;216.5;176.7145868
