"date";"station";"taille";"poids";"diametrehorizontal";"diametrevertical";"diametreremarque";"pectorale";"contraste";"ligne";"stade";"marque";;"operateur";"patho";"remarque"
17/09/2009;"0435XXX1";589;388;9,25;9,25;"moyenne";35,7;;;"AG";"00_06DF_27FA";;"Brice";;
17/09/2009;"0435XXX1";340;62;3,85;3,85;"moyenne";14,6;;;"J";"00_06DF_2889";;"Brice";;"sous-cutané"
17/09/2009;"0435XXX1";367;75;4,8;4,8;"moyenne";17,2;;;"J";"00_06DF_2F17";;"Brice";;
17/09/2009;"0435XXX1";345;68;3,7;3,7;"moyenne";15,5;;;"J";"00_06DF_38F4";;"Brice";;"sous-cutané"
17/09/2009;"0435XXX1";616;431;7,75;7,75;"moyenne";31,9;;;"J";"00_06E4_9642";;"Brice";;"début d'argenture"
17/09/2009;"0435XXX1";409;106;4,25;4,25;"moyenne";19,3;;;"J";"00_06E4_997C";;"Brice";;
17/09/2009;"0435XXX1";458;212;4,95;4,95;"moyenne";22,1;;;"J";"00_06EA_BF96";;"Brice";;
17/09/2009;"0435XXX2";448;144;5,1;5,1;"moyenne";21,3;;;"J";"00_06DE_BBB7";;"Brice";;
17/09/2009;"0435XXX2";320;56;3,75;3,75;"moyenne";13,8;;;"J";"00_06DF_1F8A";;"Brice";;
17/09/2009;"0435XXX2";369;83;3,7;3,7;"moyenne";17;;;"J";"00_06DF_209F";;"Brice";;
17/09/2009;"0435XXX2";342;65;4,15;4,15;"moyenne";16,2;;;"J";"00_06DF_2120";;"Brice";;
17/09/2009;"0435XXX2";336;57;3,6;3,6;"moyenne";13,7;;;"J";"00_06DF_22AF";;"Brice";;
17/09/2009;"0435XXX2";364;87;4,3;4,3;"moyenne";16,7;;;"J";"00_06DF_2554";;"Brice";;"sous-cutané"
17/09/2009;"0435XXX2";452;140;4,65;4,65;"moyenne";26,4;;;"J";"00_06DF_2A25";;"Brice";;
17/09/2009;"0435XXX2";319;47;3,65;3,65;"moyenne";13,2;;;"J";"00_06DF_3572";;"Brice";;
17/09/2009;"0435XXX2";347;71;3,55;3,55;"moyenne";15,6;;;"J";"00_06E4_94AC";;"Brice";;
17/09/2009;"0435XXX2";382;105;5,3;5,3;"moyenne";17;;;"J";"00_06E4_A2B1";;"Brice";;
17/09/2009;"0435XXX2";385;97;4,15;4,15;"moyenne";16,5;;;"J";"00_06E4_AE37";;"Brice";;
15/09/2009;"0435XXX6";301;42;3,1;3,1;"moyenne";13;;;"J";"00_06E4_A2AC";;"Brice";;
15/09/2009;"0435XXX8";375;82;4;4;"moyenne";17,1;;;"J";"00_06DE_C8D3";;"Brice";;
15/09/2009;"0435XXX8";319;50;3,55;3,55;"moyenne";14,4;;;"J";"00_06DF_18B5";;"Brice";;
15/09/2009;"0435XXX8";319;46;3,75;3,75;"moyenne";13,4;;;"J";"00_06DF_1A41";;"Brice";;
15/09/2009;"0435XXX8";306;49;3,6;3,6;"moyenne";12,2;;;"J";"00_06DF_34EF";;"Brice";;
15/09/2009;"0435XXX8";343;58;3,9;3,9;"moyenne";15,9;;;"J";"00_06E4_7D53";;"Brice";;
15/09/2009;"0435XXX8";355;62;3,9;3,9;"moyenne";15,7;;;"J";"00_06E4_8179";;"Brice";;
