date;station;taille;poids;diametrehorizontal;diametrevertical;diametreremarque;pectorale;contraste;ligne;stade;marque;;operateur;patho;remarque;remarque bis;;;
16/09/2009;0435XX16;315;46;3.25;3.25;moyenne;13.9;;;J;00_06E4_9420;;Brice;;pose 2009;;;;
16/09/2009;0435XX18;590;376;6.25;6.25;moyenne;28.2;;;J;00_06DF_3CB7;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;367;78;4.5;3.9;;17.3;;;J;00_06DE_9D77;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;344;42;3.9;3.2;;14.2;;;J;00_06DF_1D6F;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;491;188;4.7;5;;23;;;J;00_06DF_3771;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;352;79;4.7;4.2;;17.1;;;J;00_06E4_7EF2;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;364;86;4.8;4.6;;16.9;;;J;00_06E4_8039;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;491;186;5.8;5.6;;21.8;;;J;00_06E4_A006;;Brice;HE (A);pose 2009;;;;
21/09/2009;0456XXX1;583;394;6.3;6.6;;27.6;;;J;00_06E4_A43E;;Brice;HE (A);pose 2009;;;;
21/09/2009;0456XXX1;304;38;3.6;3.2;;11.7;;;J;00_06E4_B2BE;;Brice;;pose 2009;;;;
21/09/2009;0456XXX1;338;68;3.8;3.9;;15.8;;;J;00_06EA_C738;;Brice;;pose 2009;;;;
21/09/2009;0456XXX3;300;34;3.3;3.3;moyenne;11;;;J;00_06DF_12F9;;Brice;;pose 2009;;;;
21/09/2009;0456XXX3;307;46;3.7;3.7;moyenne;13.3;;;J;00_06DF_2559;;Brice;;pose 2009;;;;
21/09/2009;0456XXX3;392;98;5.2;4.6;;18;;;J;00_06DF_3C3C;;Brice;;pose 2009;;;;
21/09/2009;0456XXX3;342;85;5.65;5.65;moyenne;18.9;;;AG;00_06E4_8110;;Brice;;pose 2009;;;;
21/09/2009;0456XXX3;518;189;5.55;5.55;moyenne;20.9;;;J;00_06E4_832D;;Brice;HE (A);pose 2009;;;;
22/09/2009;0456XXX5;314;57;3.5;3.9;;14.4;;;J;00_06DF_143D;;Brice;;pose 2009;;;;
22/09/2009;0456XXX5;301;39;2.9;2.9;moyenne;11.5;;;J;00_06E4_8AA5;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;342;57;4.55;4.55;moyenne;17.2;;;J;00_06DF_1441;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;308;42;3.2;3.4;;12.7;;;J;00_06DF_1938;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;335;71;4.55;4.55;moyenne;18.4;;;J;00_06DF_193B;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;305;43;3.35;3.35;moyenne;12.5;;;J;00_06DF_2F9B;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;422;130;5.55;5.55;moyenne;19.8;;;J;00_06DF_30B7;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;527;311;7.25;7.25;moyenne;29;;;J;00_06DF_3675;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;351;82;4.55;4.55;moyenne;17;;;J;00_06E4_7C33;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;452;161;5.1;5.1;moyenne;22.3;;;J;00_06E4_7CF7;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;337;57;3.9;3.9;moyenne;14.3;;;J;00_06E4_832B;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;385;94;4.85;4.85;moyenne;18.6;;;J;00_06E4_9A0C;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;332;64;4.3;4.3;moyenne;16.1;;;J;00_06E4_AB98;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;348;68;4.85;4.85;moyenne;15.4;;;J;00_06EA_AB1D;;Brice;;pose 2009;;;;
22/09/2009;0456XXX8;446;153;6.25;6.25;moyenne;21.2;;;J;00_06EA_AD22;;Brice;;pose 2009;;;;
24/09/2009;0456XXX9;332;65;4.55;4.55;moyenne;16.1;;;J;00_06DF_1CE4;;Brice;;pose 2009;;;;
24/09/2009;0456XXX9;328;58;4.55;4.55;moyenne;16.1;;;J;00_06DF_3249;;Brice;;pose 2009;;;;
24/09/2009;0456XXX9;336;52;4.6;4.6;moyenne;14.9;;;J;00_06DF_3672;;Brice;;pose 2009;;;;
24/09/2009;0456XXX9;336;65;6.2;6.2;moyenne;18.3;1;1;AG;00_06EA_9FF7;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;325;57;3.8;3.8;moyenne;13.8;;;J;00_06DE_C5C4;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;307;40;3.6;3.6;moyenne;12.8;;;J;00_06DF_1AC8;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;325;47;3.65;3.65;moyenne;12.4;;;J;00_06DF_2CEC;;Brice;;pose 2009;;;;
23/09/2009;0456XX13;314;49;3.85;3.85;moyenne;15.4;;;J;00_06DF_324C;;Brice;;pose 2009;;;;
